 Номер команды,Название,Город,Тур,1,2,3,4,5,6,7,8,9,10,11,12
72544,День большой осы,сборная,1,0,0,1,0,0,0,0,0,0,0,0,0
65714,случай в онлайн казино бетера,Минск,1,1,0,1,0,0,0,0,0,0,1,0,0
92287,Конский троян,Мюнхен,1,0,0,0,1,0,0,0,0,0,1,0,0
87515,Стефания,сборная,1,0,1,1,0,0,0,0,0,0,0,0,0
67894,По коням,Москва,1,0,0,0,0,1,1,0,0,0,0,1,0
60245,Улиточка,Берлин,1,0,0,0,0,0,1,0,0,1,1,0,0
59318,КАД,Ташкент,1,1,1,1,0,0,0,0,0,0,0,1,0
44107,Триумфальная лапка,Брянск,1,0,0,1,1,0,0,0,0,0,1,0,0
44104,Альтаир,Брянск,1,1,0,1,0,0,1,1,0,0,0,1,0
4156,7Hz,Ташкент,1,1,0,0,0,0,0,0,0,0,1,1,0
95523,Кавалуния,Барселона,1,1,0,0,0,0,0,0,0,0,1,0,0
87193,Чилийские степные белки,Нюрнберг,1,1,0,0,1,0,0,0,0,0,0,0,1
69321,Закон Этлиба,Таллинн,1,0,0,0,1,0,0,0,0,0,1,0,0
46022,Пятница,Брянск,1,0,0,0,0,0,0,0,0,0,1,0,0
37782,Фламинго,Санкт-Петербург,1,0,0,0,0,0,1,1,0,0,1,1,0
93325,Крепыши,сборная,1,0,0,0,1,0,0,1,1,0,0,0,0
92213,Acquired Taste,Лондон,1,0,0,0,1,1,0,0,0,0,0,0,0
92163,Императив релоканта,Ташкент,1,1,0,1,0,0,0,0,0,0,0,0,0
85192,Plus Ultra,Таллинн,1,0,0,0,1,0,0,0,0,0,1,0,0
53559,Фантомас разбушевался,Париж,1,0,0,0,1,0,0,0,0,0,1,0,0
93165,Вах!,Ташкент,1,0,0,0,0,0,0,0,0,0,1,0,0
89868,Неоджедаи,Ташкент,1,0,0,0,0,0,0,0,0,0,1,0,0
86657,Иногда мы команда,Ташкент,1,1,1,0,0,0,0,0,0,0,1,0,0
65740,Король червей,Лондон,1,0,0,0,1,0,0,0,0,0,1,0,0
58327,Читал Бальзака,Париж,1,0,0,1,0,0,0,0,0,0,0,0,0
56078,Большие люди,Краков,1,0,1,0,0,0,1,0,0,0,0,0,0
98349,Гурбангулы,Ташкент,1,0,0,0,0,0,0,0,0,0,1,0,0
96614,Coward,Лондон,1,0,0,0,0,0,0,0,0,0,1,0,0
92968,"Не читал, но обсуждаю",Дюссельдорф,1,1,0,1,0,0,0,1,0,0,0,0,0
92889,Храпбабули,сборная,1,0,0,1,0,0,0,0,0,0,0,0,0
79623,тик-ток хаус вали карнавал,Минск,1,0,0,0,0,0,0,0,0,0,0,0,0
51850,Покупание прекрасного коньяка,Минск,1,1,0,0,0,0,0,0,0,0,0,0,0
45419,БИС,Ташкент,1,0,0,0,0,0,0,0,0,0,0,1,0
72191,Ásatrúarfélagið,Стокгольм,1,1,0,0,0,0,0,0,0,0,0,0,0
6178,Карт бланш,Кишинёв,1,0,1,0,0,0,0,1,0,0,0,0,0
65980,Au Renoir,Париж,1,0,0,0,1,0,0,0,0,0,0,0,0
58529,Трудовые резервы,Санкт-Петербург,1,0,0,0,0,0,0,0,0,0,1,0,0
3950,Мы-6,Хельсинки,1,0,0,0,0,0,0,0,0,0,0,0,0
75600,Be Humble,Санкт-Петербург,2,0,1,0,1,0,0,1,0,0,1,0,0
62868,Gay Guerrilla,сборная,2,1,1,1,1,0,1,1,0,0,1,1,0
72474,Шутка самсас,Мюнхен,2,0,1,0,1,0,1,1,0,0,1,0,0
85064,Гимназия имени Вудкока — Джонсон,Краков,2,1,1,1,0,0,0,1,0,0,1,0,0
71263,Превосходство расы фунфыриков,Минск,2,0,0,0,1,0,0,1,0,0,1,1,0
70746,Школа диско Копатыча,Москва,2,1,0,0,1,1,1,1,0,0,0,1,0
51739,Зоопарк,Минск,2,0,0,1,1,0,0,1,0,0,0,1,0
91946,Пробковый ноктурлабиум,Хельсинки,2,0,1,1,1,0,1,0,0,1,0,0,0
72078,Это легко,Барселона,2,1,0,0,1,0,0,1,0,0,0,0,0
27119,Легионеры Боливарии,Минск,2,0,0,1,1,0,0,1,0,1,0,1,0
86579,Половина Котаина,сборная,2,0,0,0,1,1,0,0,0,0,0,0,1
79988,Kapybarský Prazdroj,Лондон,2,1,1,0,1,0,0,1,0,0,0,0,0
50186,Подозрительные пассажиры,Минск,2,1,0,0,1,0,0,1,0,0,0,0,0
1703,МИД-2,сборная,2,0,1,0,1,1,0,1,0,0,0,0,0
79616,Омское метро,Минск,2,0,1,1,1,0,0,1,0,1,0,0,0
3951,Литий,Санкт-Петербург,2,0,0,0,0,1,0,1,1,0,0,0,0
2462,Мы,Ташкент,2,0,1,1,1,0,1,1,0,0,0,1,0
92677,Утка,Санкт-Петербург,2,1,0,1,0,0,1,1,0,1,0,0,0
80965,Олеги Литвы,сборная,2,0,1,0,1,0,1,1,0,0,0,0,0
28599,Такие дела,Ульяновск,2,1,0,0,0,1,0,1,0,0,0,1,0
68323,Моё сердце за мерло!,Минск,2,1,0,1,0,0,0,1,0,1,0,0,0
67543,Холодно и мокро,Санкт-Петербург,2,1,0,0,0,1,0,1,0,0,0,0,0
2909,Мистерия,Ташкент,2,1,0,0,0,0,0,0,0,0,0,0,0
93178,Путаница И ПаниКА,Ташкент,2,1,0,1,1,0,0,0,0,0,0,0,0
55486,Два слова на букву К,Мёрфельден-Вальдорф,2,0,1,0,1,0,0,0,0,0,0,0,0
48869,"Пара по 2,5",Лондон,2,0,1,1,0,0,0,1,0,0,1,0,0
48062,Уже да,Санкт-Петербург,2,1,0,0,1,1,0,0,0,0,0,0,0
216,Инк,Пало-Альто,2,1,1,1,0,0,0,1,0,0,0,0,0
95577,Хви-ай-пи,сборная,2,0,0,0,0,0,0,0,0,0,0,0,0
83800,МАНЬЕРИЗМ,Минск,2,0,0,1,1,0,0,0,0,0,0,1,0
77174,Polish Space Marines,Краков,2,1,0,0,1,0,0,1,0,0,0,0,0
48115,Children of Bodun,Тула,2,0,0,0,0,0,0,1,1,0,0,0,0
7864,Одушевлённые аэросани,Минск,2,1,1,0,0,1,0,1,0,0,0,0,0
6790,Тёмный лес,Мюнхен,2,0,0,0,0,0,0,0,0,0,0,0,0
1733,Кузибота,Нью-Йорк,2,0,1,1,0,0,1,0,1,0,0,0,0
95743,Степной котик,Астана,2,1,1,0,1,1,0,0,0,0,0,0,0
93400,Сборная,сборная,2,0,0,1,0,0,0,0,0,0,0,0,0
92675,Метасеквоя,Минск,2,1,0,1,0,0,0,0,0,0,0,0,0
90964,sample text,Варшава,2,1,0,0,0,0,0,0,0,0,0,0,0
86754,Хы,Мюнхен,2,0,0,0,1,0,0,0,0,0,0,0,0
86108,Mafia,Краков,2,0,0,0,0,0,0,1,0,0,0,0,0
85037,Странные агенты,Берлин,2,1,0,1,1,0,0,0,0,0,0,0,0
72544,День большой осы,сборная,2,0,0,0,1,0,1,0,0,0,0,0,0
65714,случай в онлайн казино бетера,Минск,2,1,0,0,0,0,0,1,0,0,0,0,0
92287,Конский троян,Мюнхен,2,0,1,0,1,0,0,1,0,0,0,0,0
87515,Стефания,сборная,2,0,0,0,0,0,0,0,0,0,1,0,0
67894,По коням,Москва,2,1,0,0,0,0,0,1,0,0,0,0,0
60245,Улиточка,Берлин,2,0,1,0,0,0,0,1,0,0,1,0,0
59318,КАД,Ташкент,2,0,0,1,0,0,0,1,0,0,0,0,0
44107,Триумфальная лапка,Брянск,2,0,0,0,1,1,0,0,0,0,0,0,0
44104,Альтаир,Брянск,2,0,1,0,0,0,0,0,0,0,0,0,0
4156,7Hz,Ташкент,2,0,0,1,0,0,0,0,0,0,0,0,0
95523,Кавалуния,Барселона,2,0,0,0,1,0,0,0,0,0,0,0,0
87193,Чилийские степные белки,Нюрнберг,2,1,0,0,0,0,0,0,0,0,0,0,0
69321,Закон Этлиба,Таллинн,2,1,0,1,0,0,0,1,0,0,0,0,0
46022,Пятница,Брянск,2,1,0,1,0,0,0,1,0,0,0,0,0
37782,Фламинго,Санкт-Петербург,2,1,0,0,0,0,0,0,0,0,0,0,0
93325,Крепыши,сборная,2,1,0,0,0,0,0,0,0,0,0,0,0
92213,Acquired Taste,Лондон,2,0,0,0,0,0,0,1,0,0,0,0,0
92163,Императив релоканта,Ташкент,2,0,0,0,0,0,0,1,0,0,0,0,0
85192,Plus Ultra,Таллинн,2,0,0,0,0,0,0,0,0,0,0,0,0
53559,Фантомас разбушевался,Париж,2,0,0,0,0,0,0,0,0,0,0,0,0
93165,Вах!,Ташкент,2,0,0,1,0,0,0,0,0,0,0,0,0
89868,Неоджедаи,Ташкент,2,0,0,1,0,0,0,0,0,0,0,1,0
86657,Иногда мы команда,Ташкент,2,0,0,0,1,0,0,0,0,0,0,0,0
65740,Король червей,Лондон,2,0,0,0,0,0,0,1,0,0,0,0,0
58327,Читал Бальзака,Париж,2,0,0,0,1,0,0,0,0,0,0,0,0
56078,Большие люди,Краков,2,0,0,0,0,0,0,0,0,0,1,0,0
98349,Гурбангулы,Ташкент,2,0,0,0,0,0,0,1,0,0,0,0,0
96614,Coward,Лондон,2,0,0,0,0,0,0,0,0,0,0,0,0
92968,"Не читал, но обсуждаю",Дюссельдорф,2,0,0,0,0,0,0,0,0,0,0,0,0
92889,Храпбабули,сборная,2,0,0,0,0,0,0,1,0,0,0,0,0
79623,тик-ток хаус вали карнавал,Минск,2,1,0,0,0,0,0,0,0,0,0,1,0
51850,Покупание прекрасного коньяка,Минск,2,0,0,0,0,0,0,0,0,1,0,0,0
45419,БИС,Ташкент,2,1,0,0,0,0,0,0,0,0,0,0,0
72191,Ásatrúarfélagið,Стокгольм,2,0,0,0,0,0,0,0,0,0,0,0,0
6178,Карт бланш,Кишинёв,2,0,0,0,0,0,0,0,0,0,0,0,0
65980,Au Renoir,Париж,2,0,0,0,0,0,0,0,0,0,0,0,0
58529,Трудовые резервы,Санкт-Петербург,2,0,0,0,0,0,0,0,0,0,0,0,0
3950,Мы-6,Хельсинки,2,0,1,0,0,0,0,0,0,0,0,0,0
75600,Be Humble,Санкт-Петербург,3,1,0,0,1,0,1,1,1,0,1,0,1
62868,Gay Guerrilla,сборная,3,1,0,1,1,1,0,0,1,0,0,0,0
72474,Шутка самсас,Мюнхен,3,1,0,1,1,1,1,1,0,0,0,1,0
85064,Гимназия имени Вудкока — Джонсон,Краков,3,1,0,1,0,0,0,1,1,0,0,1,0
71263,Превосходство расы фунфыриков,Минск,3,1,0,1,1,0,1,0,0,1,0,0,1
70746,Школа диско Копатыча,Москва,3,1,1,1,1,0,0,1,0,0,0,0,0
51739,Зоопарк,Минск,3,1,1,1,1,0,1,0,0,0,0,0,1
91946,Пробковый ноктурлабиум,Хельсинки,3,1,0,1,1,0,0,0,0,1,0,0,1
72078,Это легко,Барселона,3,1,0,1,1,0,0,0,1,0,1,1,1
27119,Легионеры Боливарии,Минск,3,1,0,0,1,0,1,0,0,0,0,0,0
86579,Половина Котаина,сборная,3,1,0,1,1,0,1,0,1,0,0,0,1
79988,Kapybarský Prazdroj,Лондон,3,1,0,1,1,0,0,0,0,1,1,0,0
50186,Подозрительные пассажиры,Минск,3,1,0,0,0,0,1,0,0,0,0,1,1
1703,МИД-2,сборная,3,1,0,1,1,0,1,0,1,0,0,1,0
79616,Омское метро,Минск,3,1,0,0,1,0,0,0,0,0,0,1,0
3951,Литий,Санкт-Петербург,3,1,1,1,1,0,0,0,0,0,0,0,0
2462,Мы,Ташкент,3,0,0,1,1,0,0,0,1,0,0,1,1
92677,Утка,Санкт-Петербург,3,1,0,0,1,0,0,0,1,0,0,0,0
80965,Олеги Литвы,сборная,3,1,0,1,0,0,0,0,0,0,1,1,0
28599,Такие дела,Ульяновск,3,1,1,1,0,0,0,0,0,0,0,1,0
68323,Моё сердце за мерло!,Минск,3,0,0,1,1,0,1,1,0,0,1,0,0
67543,Холодно и мокро,Санкт-Петербург,3,1,1,1,0,0,0,0,0,0,1,0,0
2909,Мистерия,Ташкент,3,1,0,1,1,0,0,0,1,0,0,1,0
93178,Путаница И ПаниКА,Ташкент,3,0,0,1,1,0,1,0,0,0,0,0,0
55486,Два слова на букву К,Мёрфельден-Вальдорф,3,0,0,1,1,0,0,0,0,0,0,0,0
48869,"Пара по 2,5",Лондон,3,0,0,1,0,0,0,0,0,0,0,1,0
48062,Уже да,Санкт-Петербург,3,1,0,1,1,0,0,0,0,0,0,0,0
216,Инк,Пало-Альто,3,0,0,0,0,0,0,0,0,0,0,1,1
95577,Хви-ай-пи,сборная,3,1,0,1,1,0,1,1,1,0,0,0,0
83800,МАНЬЕРИЗМ,Минск,3,1,0,0,0,0,0,0,0,0,0,1,0
77174,Polish Space Marines,Краков,3,1,0,1,0,0,0,0,0,0,1,0,0
48115,Children of Bodun,Тула,3,1,0,1,0,0,0,0,0,0,0,1,1
7864,Одушевлённые аэросани,Минск,3,1,0,0,0,0,0,0,1,0,0,0,0
6790,Тёмный лес,Мюнхен,3,1,0,1,1,0,1,0,1,0,0,1,0
1733,Кузибота,Нью-Йорк,3,0,0,0,0,0,0,0,0,0,0,1,0
95743,Степной котик,Астана,3,0,0,0,0,0,0,0,0,0,0,0,1
93400,Сборная,сборная,3,1,0,0,1,0,0,0,1,0,0,0,0
92675,Метасеквоя,Минск,3,1,0,0,1,0,0,0,1,0,0,0,0
90964,sample text,Варшава,3,1,0,1,1,0,0,0,0,0,0,0,1
86754,Хы,Мюнхен,3,1,0,0,1,0,0,0,0,1,0,0,0
86108,Mafia,Краков,3,1,1,0,1,0,0,0,1,0,0,1,0
85037,Странные агенты,Берлин,3,0,0,1,1,0,0,0,0,0,0,0,0
72544,День большой осы,сборная,3,1,0,0,1,0,1,0,1,0,0,1,0
65714,случай в онлайн казино бетера,Минск,3,1,0,0,1,0,0,0,1,0,0,0,0
92287,Конский троян,Мюнхен,3,1,0,0,0,0,0,0,0,0,0,1,0
87515,Стефания,сборная,3,1,1,0,0,0,1,0,1,0,0,0,0
67894,По коням,Москва,3,1,0,0,0,0,0,0,1,0,0,0,0
60245,Улиточка,Берлин,3,0,0,0,0,0,0,0,0,0,0,1,0
59318,КАД,Ташкент,3,0,0,1,0,0,0,0,0,0,0,0,0
44107,Триумфальная лапка,Брянск,3,1,0,0,0,0,0,0,0,0,0,1,0
44104,Альтаир,Брянск,3,0,0,1,0,0,0,0,0,0,0,0,0
4156,7Hz,Ташкент,3,1,0,1,0,0,0,0,0,0,1,0,0
95523,Кавалуния,Барселона,3,0,0,0,0,0,1,0,0,0,1,0,1
87193,Чилийские степные белки,Нюрнберг,3,1,0,1,0,0,0,0,0,0,0,0,0
69321,Закон Этлиба,Таллинн,3,1,0,0,0,0,0,0,0,0,0,0,0
46022,Пятница,Брянск,3,0,0,1,1,0,0,0,0,0,0,0,0
37782,Фламинго,Санкт-Петербург,3,1,0,0,0,0,0,0,0,0,0,0,0
93325,Крепыши,сборная,3,0,0,0,0,0,0,0,1,0,0,0,0
92213,Acquired Taste,Лондон,3,0,0,1,0,0,0,0,0,0,0,0,1
92163,Императив релоканта,Ташкент,3,1,0,0,0,0,0,0,1,0,0,0,0
85192,Plus Ultra,Таллинн,3,0,0,1,1,0,1,0,0,0,0,0,0
53559,Фантомас разбушевался,Париж,3,1,0,0,1,0,0,0,0,0,1,0,0
93165,Вах!,Ташкент,3,0,0,0,0,0,0,0,0,0,1,1,0
89868,Неоджедаи,Ташкент,3,0,0,0,0,0,0,0,0,0,1,0,0
86657,Иногда мы команда,Ташкент,3,0,0,0,0,0,0,0,0,0,0,0,0
65740,Король червей,Лондон,3,1,0,0,0,0,0,0,0,0,0,0,0
58327,Читал Бальзака,Париж,3,1,0,0,0,0,0,0,1,0,0,0,0
56078,Большие люди,Краков,3,0,0,0,0,0,0,0,1,0,0,0,0
98349,Гурбангулы,Ташкент,3,0,0,0,0,0,0,0,0,0,0,1,0
96614,Coward,Лондон,3,0,0,1,0,0,0,0,0,0,1,0,0
92968,"Не читал, но обсуждаю",Дюссельдорф,3,0,0,0,0,0,0,0,0,0,0,0,0
92889,Храпбабули,сборная,3,0,0,0,0,0,0,0,0,0,1,0,0
79623,тик-ток хаус вали карнавал,Минск,3,0,0,0,0,0,0,0,0,0,0,1,0
51850,Покупание прекрасного коньяка,Минск,3,0,0,0,1,0,0,0,0,0,0,0,0
45419,БИС,Ташкент,3,0,0,0,1,0,0,0,0,0,0,0,0
72191,Ásatrúarfélagið,Стокгольм,3,1,0,0,0,0,0,0,0,0,0,0,0
6178,Карт бланш,Кишинёв,3,0,0,0,0,0,0,0,0,0,0,0,0
65980,Au Renoir,Париж,3,0,0,0,0,0,0,0,0,0,0,0,0
58529,Трудовые резервы,Санкт-Петербург,3,0,0,0,0,0,0,0,0,0,0,0,0
3950,Мы-6,Хельсинки,3,0,0,0,0,0,0,0,0,0,0,0,0
